archivo_a,archivo_b,similitud,tamanio_a_kb,extension
receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF2 AccDatos.txt,README.md,51.93,0.31,.txt
receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF2 AccDatos.txt,README.md,44.57,0.31,.txt
receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF2 AccDatos.txt,LICENSE.txt,49.19,0.31,.txt
receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF2 AccDatos.txt,SECURITY.md,51.09,0.31,.txt
receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF2 AccDatos.txt,ThirdPartyNotices.txt,43.09,0.31,.txt
receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF2 AccDatos.txt,README.md,45.0,0.31,.txt
receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF2 AccDatos.txt,README.md,50.2,0.31,.txt
receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF2 AccDatos.txt,README.md,49.68,0.31,.txt
receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF2 AccDatos.txt,README.md,48.08,0.31,.txt
receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF2 AccDatos.txt,README.md,50.27,0.31,.txt
receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF2 AccDatos.txt,README.md,46.63,0.31,.txt
receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF2 AccDatos.txt,README.md,47.02,0.31,.txt
receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF2 AccDatos.txt,LICENSE.txt,49.86,0.31,.txt
receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF2 AccDatos.txt,README.md,50.2,0.31,.txt
receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF2 AccDatos.txt,README.md,51.06,0.31,.txt
receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF2 AccDatos.txt,README.md,45.79,0.31,.txt
receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF2 AccDatos.txt,README.md,48.79,0.31,.txt
receipt-2602_CFPSICB0_ONLINE_MPO_2A_A-DAM_EC03_NF1_GameDesign.txt,receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF2 Actividad Servicios y procesos.txt,92.56,0.33,.txt
receipt-2602_CFPSICB0_ONLINE_MPO_2A_A-DAM_EC03_NF1_GameDesign.txt,receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF3 AccDatos.txt,93.82,0.33,.txt
receipt-2602_CFPSICB0_ONLINE_MPO_2A_A-DAM_EC03_NF1_GameDesign.txt,receipt-2602_CFPSICB0_ONLINE_0489_2A_A-DAM_EC_Teorico_Practico_NF1_Multimedia_y_moviles.txt,95.42,0.33,.txt
receipt-2602_CFPSICB0_ONLINE_MPO_2A_A-DAM_EC03_NF1_GameDesign.txt,receipt-250275105_0179_1A_A-Speaking_Examen 1ª convo. DAM_0179_ Inglés Profesional.txt,93.18,0.33,.txt
receipt-2602_CFPSICB0_ONLINE_MPO_2A_A-DAM_EC03_NF1_GameDesign.txt,receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF4 AccDatos.txt,93.56,0.33,.txt
receipt-2602_CFPSICB0_ONLINE_MPO_2A_A-DAM_EC03_NF1_GameDesign.txt,README.md,52.4,0.33,.txt
receipt-2602_CFPSICB0_ONLINE_MPO_2A_A-DAM_EC03_NF1_GameDesign.txt,receipt-2509_DAM_O_EE_2A-Aplazamiento.txt,92.38,0.33,.txt
receipt-2602_CFPSICB0_ONLINE_MPO_2A_A-DAM_EC03_NF1_GameDesign.txt,receipt-250275105_0179_1A_A-DAM EC TEST NF 1 PROFESSIONAL ENGLISH- SPEAKING.txt,93.59,0.33,.txt
receipt-2602_CFPSICB0_ONLINE_MPO_2A_A-DAM_EC03_NF1_GameDesign.txt,receipt-250275105_0179_1A_A-DAM EC TEST NF 2 PROFESSIONAL ENGLISH - LISTENING.txt,91.05,0.33,.txt
receipt-2602_CFPSICB0_ONLINE_MPO_2A_A-DAM_EC03_NF1_GameDesign.txt,receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF1 AccDatos.txt,94.07,0.33,.txt
receipt-2602_CFPSICB0_ONLINE_MPO_2A_A-DAM_EC03_NF1_GameDesign.txt,receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF1 Actividad Servicios y procesos.txt,93.79,0.33,.txt
receipt-2602_CFPSICB0_ONLINE_MPO_2A_A-DAM_EC03_NF1_GameDesign.txt,receipt-2602_CFPSICB0_ONLINE_0491_2A_A-DAM_EC_NF1_Sistemas_de_gestión_empresarial - Actividad 80 nota.txt,94.46,0.33,.txt
receipt-2602_CFPSICB0_ONLINE_MPO_2A_A-DAM_EC03_NF1_GameDesign.txt,receipt-2602_CFPSICB0_ONLINE_MPO_2A_A-DAM_EC01_NF1_GameDesign.txt,98.68,0.33,.txt
receipt-2602_CFPSICB0_ONLINE_MPO_2A_A-DAM_EC03_NF1_GameDesign.txt,receipt-2509_CFPSICB0_ONLINE_0488_2A_A-DAM EC NF2 ACTIVIDAD DESARROLLO DE INTERFACES.txt,92.19,0.33,.txt
receipt-2602_CFPSICB0_ONLINE_MPO_2A_A-DAM_EC03_NF1_GameDesign.txt,receipt-2509_CFPSICB0_ONLINE_0492_2A_A-DAM Entregable 2. Organización del proyecto.txt,90.87,0.33,.txt
receipt-2602_CFPSICB0_ONLINE_MPO_2A_A-DAM_EC03_NF1_GameDesign.txt,receipt-2509_CFPSICB0_ONLINE_0492_2A_A-Entregable 5. Estructura del proyecto  Maquetación  Usabilidad.txt,89.33,0.33,.txt
receipt-2602_CFPSICB0_ONLINE_MPO_2A_A-DAM_EC03_NF1_GameDesign.txt,receipt-2509_CFPSICB0_ONLINE_0492_2A_A-DAM Entregable 1. Evaluar ideas - Presentacion del proyecto.txt,88.16,0.33,.txt
receipt-2602_CFPSICB0_ONLINE_MPO_2A_A-DAM_EC03_NF1_GameDesign.txt,github-recovery-codes.txt,54.36,0.33,.txt
receipt-2602_CFPSICB0_ONLINE_MPO_2A_A-DAM_EC03_NF1_GameDesign.txt,receipt-2509_CFPSICB0_ONLINE_0492_2A_A-Entregable 6. PruebasTesteo de código.txt,91.38,0.33,.txt
receipt-2602_CFPSICB0_ONLINE_MPO_2A_A-DAM_EC03_NF1_GameDesign.txt,Ejerpublica.java,41.71,0.33,.txt
receipt-2602_CFPSICB0_ONLINE_MPO_2A_A-DAM_EC03_NF1_GameDesign.txt,Ejercicio02_Traspasos.java,63.11,0.33,.txt
receipt-2602_CFPSICB0_ONLINE_MPO_2A_A-DAM_EC03_NF1_GameDesign.txt,Ejercicio03_Calculadora.java,63.38,0.33,.txt
receipt-2602_CFPSICB0_ONLINE_MPO_2A_A-DAM_EC03_NF1_GameDesign.txt,Ejercicio01_Series.java,60.23,0.33,.txt
receipt-2602_CFPSICB0_ONLINE_MPO_2A_A-DAM_EC03_NF1_GameDesign.txt,Ejercicio4_ProgModular.java,63.53,0.33,.txt
receipt-2602_CFPSICB0_ONLINE_MPO_2A_A-DAM_EC03_NF1_GameDesign.txt,ThirdPartyNotices.txt,49.88,0.33,.txt
receipt-2602_CFPSICB0_ONLINE_MPO_2A_A-DAM_EC03_NF1_GameDesign.txt,CodeHelper.md,49.6,0.33,.txt
receipt-2602_CFPSICB0_ONLINE_MPO_2A_A-DAM_EC03_NF1_GameDesign.txt,README.md,50.78,0.33,.txt
receipt-2602_CFPSICB0_ONLINE_MPO_2A_A-DAM_EC03_NF1_GameDesign.txt,README.md,51.97,0.33,.txt
receipt-2602_CFPSICB0_ONLINE_MPO_2A_A-DAM_EC03_NF1_GameDesign.txt,README.md,46.02,0.33,.txt
receipt-2602_CFPSICB0_ONLINE_MPO_2A_A-DAM_EC03_NF1_GameDesign.txt,LICENSE.txt,49.39,0.33,.txt
receipt-2602_CFPSICB0_ONLINE_MPO_2A_A-DAM_EC03_NF1_GameDesign.txt,SECURITY.md,49.89,0.33,.txt
receipt-2602_CFPSICB0_ONLINE_MPO_2A_A-DAM_EC03_NF1_GameDesign.txt,ThirdPartyNotices.txt,43.66,0.33,.txt
receipt-2602_CFPSICB0_ONLINE_MPO_2A_A-DAM_EC03_NF1_GameDesign.txt,README.md,45.02,0.33,.txt
receipt-2602_CFPSICB0_ONLINE_MPO_2A_A-DAM_EC03_NF1_GameDesign.txt,README.md,49.96,0.33,.txt
receipt-2602_CFPSICB0_ONLINE_MPO_2A_A-DAM_EC03_NF1_GameDesign.txt,README.md,47.87,0.33,.txt
receipt-2602_CFPSICB0_ONLINE_MPO_2A_A-DAM_EC03_NF1_GameDesign.txt,README.md,47.78,0.33,.txt
receipt-2602_CFPSICB0_ONLINE_MPO_2A_A-DAM_EC03_NF1_GameDesign.txt,README.md,52.45,0.33,.txt
receipt-2602_CFPSICB0_ONLINE_MPO_2A_A-DAM_EC03_NF1_GameDesign.txt,README.md,49.19,0.33,.txt
receipt-2602_CFPSICB0_ONLINE_MPO_2A_A-DAM_EC03_NF1_GameDesign.txt,README.md,47.09,0.33,.txt
receipt-2602_CFPSICB0_ONLINE_MPO_2A_A-DAM_EC03_NF1_GameDesign.txt,LICENSE.txt,50.24,0.33,.txt
receipt-2602_CFPSICB0_ONLINE_MPO_2A_A-DAM_EC03_NF1_GameDesign.txt,README.md,49.22,0.33,.txt
receipt-2602_CFPSICB0_ONLINE_MPO_2A_A-DAM_EC03_NF1_GameDesign.txt,README.md,49.96,0.33,.txt
receipt-2602_CFPSICB0_ONLINE_MPO_2A_A-DAM_EC03_NF1_GameDesign.txt,README.md,46.05,0.33,.txt
receipt-2602_CFPSICB0_ONLINE_MPO_2A_A-DAM_EC03_NF1_GameDesign.txt,README.md,47.85,0.33,.txt
receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF2 Actividad Servicios y procesos.txt,receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF3 AccDatos.txt,93.67,0.36,.txt
receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF2 Actividad Servicios y procesos.txt,receipt-2602_CFPSICB0_ONLINE_0489_2A_A-DAM_EC_Teorico_Practico_NF1_Multimedia_y_moviles.txt,93.71,0.36,.txt
receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF2 Actividad Servicios y procesos.txt,receipt-250275105_0179_1A_A-Speaking_Examen 1ª convo. DAM_0179_ Inglés Profesional.txt,90.23,0.36,.txt
receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF2 Actividad Servicios y procesos.txt,receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF4 AccDatos.txt,94.06,0.36,.txt
receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF2 Actividad Servicios y procesos.txt,README.md,51.9,0.36,.txt
receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF2 Actividad Servicios y procesos.txt,receipt-2509_DAM_O_EE_2A-Aplazamiento.txt,93.62,0.36,.txt
receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF2 Actividad Servicios y procesos.txt,receipt-250275105_0179_1A_A-DAM EC TEST NF 1 PROFESSIONAL ENGLISH- SPEAKING.txt,91.94,0.36,.txt
receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF2 Actividad Servicios y procesos.txt,receipt-250275105_0179_1A_A-DAM EC TEST NF 2 PROFESSIONAL ENGLISH - LISTENING.txt,87.15,0.36,.txt
receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF2 Actividad Servicios y procesos.txt,receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF1 AccDatos.txt,93.79,0.36,.txt
receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF2 Actividad Servicios y procesos.txt,receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF1 Actividad Servicios y procesos.txt,98.7,0.36,.txt
receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF2 Actividad Servicios y procesos.txt,receipt-2602_CFPSICB0_ONLINE_0491_2A_A-DAM_EC_NF1_Sistemas_de_gestión_empresarial - Actividad 80 nota.txt,91.17,0.36,.txt
receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF2 Actividad Servicios y procesos.txt,receipt-2602_CFPSICB0_ONLINE_MPO_2A_A-DAM_EC01_NF1_GameDesign.txt,92.1,0.36,.txt
receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF2 Actividad Servicios y procesos.txt,receipt-2509_CFPSICB0_ONLINE_0488_2A_A-DAM EC NF2 ACTIVIDAD DESARROLLO DE INTERFACES.txt,91.28,0.36,.txt
receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF2 Actividad Servicios y procesos.txt,receipt-2509_CFPSICB0_ONLINE_0492_2A_A-DAM Entregable 2. Organización del proyecto.txt,92.72,0.36,.txt
receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF2 Actividad Servicios y procesos.txt,receipt-2509_CFPSICB0_ONLINE_0492_2A_A-Entregable 5. Estructura del proyecto  Maquetación  Usabilidad.txt,92.14,0.36,.txt
receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF2 Actividad Servicios y procesos.txt,receipt-2509_CFPSICB0_ONLINE_0492_2A_A-DAM Entregable 1. Evaluar ideas - Presentacion del proyecto.txt,90.09,0.36,.txt
receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF2 Actividad Servicios y procesos.txt,github-recovery-codes.txt,55.39,0.36,.txt
receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF2 Actividad Servicios y procesos.txt,receipt-2509_CFPSICB0_ONLINE_0492_2A_A-Entregable 6. PruebasTesteo de código.txt,93.19,0.36,.txt
receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF2 Actividad Servicios y procesos.txt,Ejerpublica.java,40.01,0.36,.txt
receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF2 Actividad Servicios y procesos.txt,Ejercicio02_Traspasos.java,63.52,0.36,.txt
receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF2 Actividad Servicios y procesos.txt,Ejercicio03_Calculadora.java,64.34,0.36,.txt
receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF2 Actividad Servicios y procesos.txt,Ejercicio01_Series.java,60.05,0.36,.txt
receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF2 Actividad Servicios y procesos.txt,Ejercicio4_ProgModular.java,63.86,0.36,.txt
receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF2 Actividad Servicios y procesos.txt,ThirdPartyNotices.txt,51.64,0.36,.txt
receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF2 Actividad Servicios y procesos.txt,CodeHelper.md,49.16,0.36,.txt
receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF2 Actividad Servicios y procesos.txt,README.md,51.72,0.36,.txt
receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF2 Actividad Servicios y procesos.txt,README.md,52.56,0.36,.txt
receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF2 Actividad Servicios y procesos.txt,README.md,45.98,0.36,.txt
receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF2 Actividad Servicios y procesos.txt,LICENSE.txt,49.52,0.36,.txt
receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF2 Actividad Servicios y procesos.txt,SECURITY.md,52.66,0.36,.txt
receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF2 Actividad Servicios y procesos.txt,ThirdPartyNotices.txt,42.25,0.36,.txt
receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF2 Actividad Servicios y procesos.txt,README.md,45.03,0.36,.txt
receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF2 Actividad Servicios y procesos.txt,README.md,50.33,0.36,.txt
receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF2 Actividad Servicios y procesos.txt,README.md,50.14,0.36,.txt
receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF2 Actividad Servicios y procesos.txt,README.md,47.55,0.36,.txt
receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF2 Actividad Servicios y procesos.txt,README.md,51.52,0.36,.txt
receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF2 Actividad Servicios y procesos.txt,README.md,49.82,0.36,.txt
receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF2 Actividad Servicios y procesos.txt,README.md,46.3,0.36,.txt
receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF2 Actividad Servicios y procesos.txt,LICENSE.txt,50.25,0.36,.txt
receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF2 Actividad Servicios y procesos.txt,README.md,50.08,0.36,.txt
receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF2 Actividad Servicios y procesos.txt,README.md,51.73,0.36,.txt
receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF2 Actividad Servicios y procesos.txt,README.md,46.1,0.36,.txt
receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF2 Actividad Servicios y procesos.txt,README.md,48.81,0.36,.txt
receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF3 AccDatos.txt,receipt-2602_CFPSICB0_ONLINE_0489_2A_A-DAM_EC_Teorico_Practico_NF1_Multimedia_y_moviles.txt,92.77,0.31,.txt
receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF3 AccDatos.txt,receipt-250275105_0179_1A_A-Speaking_Examen 1ª convo. DAM_0179_ Inglés Profesional.txt,93.33,0.31,.txt
receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF3 AccDatos.txt,receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF4 AccDatos.txt,99.03,0.31,.txt
receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF3 AccDatos.txt,README.md,51.72,0.31,.txt
receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF3 AccDatos.txt,receipt-2509_DAM_O_EE_2A-Aplazamiento.txt,94.94,0.31,.txt
receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF3 AccDatos.txt,receipt-250275105_0179_1A_A-DAM EC TEST NF 1 PROFESSIONAL ENGLISH- SPEAKING.txt,94.45,0.31,.txt
receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF3 AccDatos.txt,receipt-250275105_0179_1A_A-DAM EC TEST NF 2 PROFESSIONAL ENGLISH - LISTENING.txt,90.08,0.31,.txt
receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF3 AccDatos.txt,receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF1 AccDatos.txt,99.01,0.31,.txt
receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF3 AccDatos.txt,receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF1 Actividad Servicios y procesos.txt,93.99,0.31,.txt
receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF3 AccDatos.txt,receipt-2602_CFPSICB0_ONLINE_0491_2A_A-DAM_EC_NF1_Sistemas_de_gestión_empresarial - Actividad 80 nota.txt,92.37,0.31,.txt
receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF3 AccDatos.txt,receipt-2602_CFPSICB0_ONLINE_MPO_2A_A-DAM_EC01_NF1_GameDesign.txt,92.96,0.31,.txt
receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF3 AccDatos.txt,receipt-2509_CFPSICB0_ONLINE_0488_2A_A-DAM EC NF2 ACTIVIDAD DESARROLLO DE INTERFACES.txt,93.82,0.31,.txt
receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF3 AccDatos.txt,receipt-2509_CFPSICB0_ONLINE_0492_2A_A-DAM Entregable 2. Organización del proyecto.txt,89.46,0.31,.txt
receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF3 AccDatos.txt,receipt-2509_CFPSICB0_ONLINE_0492_2A_A-Entregable 5. Estructura del proyecto  Maquetación  Usabilidad.txt,88.9,0.31,.txt
receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF3 AccDatos.txt,receipt-2509_CFPSICB0_ONLINE_0492_2A_A-DAM Entregable 1. Evaluar ideas - Presentacion del proyecto.txt,86.46,0.31,.txt
receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF3 AccDatos.txt,github-recovery-codes.txt,56.24,0.31,.txt
receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF3 AccDatos.txt,receipt-2509_CFPSICB0_ONLINE_0492_2A_A-Entregable 6. PruebasTesteo de código.txt,90.72,0.31,.txt
receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF3 AccDatos.txt,Ejerpublica.java,40.63,0.31,.txt
receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF3 AccDatos.txt,Ejercicio02_Traspasos.java,62.59,0.31,.txt
receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF3 AccDatos.txt,Ejercicio03_Calculadora.java,63.96,0.31,.txt
receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF3 AccDatos.txt,Ejercicio01_Series.java,58.76,0.31,.txt
receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF3 AccDatos.txt,Ejercicio4_ProgModular.java,63.02,0.31,.txt
receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF3 AccDatos.txt,ThirdPartyNotices.txt,49.59,0.31,.txt
receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF3 AccDatos.txt,CodeHelper.md,51.05,0.31,.txt
receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF3 AccDatos.txt,README.md,51.49,0.31,.txt
receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF3 AccDatos.txt,README.md,51.87,0.31,.txt
receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF3 AccDatos.txt,README.md,44.85,0.31,.txt
receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF3 AccDatos.txt,LICENSE.txt,49.27,0.31,.txt
receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF3 AccDatos.txt,SECURITY.md,51.37,0.31,.txt
receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF3 AccDatos.txt,ThirdPartyNotices.txt,43.25,0.31,.txt
receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF3 AccDatos.txt,README.md,45.05,0.31,.txt
receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF3 AccDatos.txt,README.md,49.6,0.31,.txt
receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF3 AccDatos.txt,README.md,49.55,0.31,.txt
receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF3 AccDatos.txt,README.md,47.67,0.31,.txt
receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF3 AccDatos.txt,README.md,50.11,0.31,.txt
receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF3 AccDatos.txt,README.md,45.78,0.31,.txt
receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF3 AccDatos.txt,README.md,46.55,0.31,.txt
receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF3 AccDatos.txt,LICENSE.txt,49.93,0.31,.txt
receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF3 AccDatos.txt,README.md,49.74,0.31,.txt
receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF3 AccDatos.txt,README.md,50.76,0.31,.txt
receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF3 AccDatos.txt,README.md,45.37,0.31,.txt
receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF3 AccDatos.txt,README.md,48.59,0.31,.txt
receipt-2602_CFPSICB0_ONLINE_0489_2A_A-DAM_EC_Teorico_Practico_NF1_Multimedia_y_moviles.txt,receipt-250275105_0179_1A_A-Speaking_Examen 1ª convo. DAM_0179_ Inglés Profesional.txt,90.49,0.37,.txt
receipt-2602_CFPSICB0_ONLINE_0489_2A_A-DAM_EC_Teorico_Practico_NF1_Multimedia_y_moviles.txt,receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF4 AccDatos.txt,92.54,0.37,.txt
receipt-2602_CFPSICB0_ONLINE_0489_2A_A-DAM_EC_Teorico_Practico_NF1_Multimedia_y_moviles.txt,README.md,51.91,0.37,.txt
receipt-2602_CFPSICB0_ONLINE_0489_2A_A-DAM_EC_Teorico_Practico_NF1_Multimedia_y_moviles.txt,receipt-2509_DAM_O_EE_2A-Aplazamiento.txt,91.5,0.37,.txt
receipt-2602_CFPSICB0_ONLINE_0489_2A_A-DAM_EC_Teorico_Practico_NF1_Multimedia_y_moviles.txt,receipt-250275105_0179_1A_A-DAM EC TEST NF 1 PROFESSIONAL ENGLISH- SPEAKING.txt,90.68,0.37,.txt
receipt-2602_CFPSICB0_ONLINE_0489_2A_A-DAM_EC_Teorico_Practico_NF1_Multimedia_y_moviles.txt,receipt-250275105_0179_1A_A-DAM EC TEST NF 2 PROFESSIONAL ENGLISH - LISTENING.txt,86.11,0.37,.txt
receipt-2602_CFPSICB0_ONLINE_0489_2A_A-DAM_EC_Teorico_Practico_NF1_Multimedia_y_moviles.txt,receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF1 AccDatos.txt,92.75,0.37,.txt
receipt-2602_CFPSICB0_ONLINE_0489_2A_A-DAM_EC_Teorico_Practico_NF1_Multimedia_y_moviles.txt,receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF1 Actividad Servicios y procesos.txt,94.79,0.37,.txt
receipt-2602_CFPSICB0_ONLINE_0489_2A_A-DAM_EC_Teorico_Practico_NF1_Multimedia_y_moviles.txt,receipt-2602_CFPSICB0_ONLINE_0491_2A_A-DAM_EC_NF1_Sistemas_de_gestión_empresarial - Actividad 80 nota.txt,91.73,0.37,.txt
receipt-2602_CFPSICB0_ONLINE_0489_2A_A-DAM_EC_Teorico_Practico_NF1_Multimedia_y_moviles.txt,receipt-2602_CFPSICB0_ONLINE_MPO_2A_A-DAM_EC01_NF1_GameDesign.txt,94.67,0.37,.txt
receipt-2602_CFPSICB0_ONLINE_0489_2A_A-DAM_EC_Teorico_Practico_NF1_Multimedia_y_moviles.txt,receipt-2509_CFPSICB0_ONLINE_0488_2A_A-DAM EC NF2 ACTIVIDAD DESARROLLO DE INTERFACES.txt,91.03,0.37,.txt
receipt-2602_CFPSICB0_ONLINE_0489_2A_A-DAM_EC_Teorico_Practico_NF1_Multimedia_y_moviles.txt,receipt-2509_CFPSICB0_ONLINE_0492_2A_A-DAM Entregable 2. Organización del proyecto.txt,92.43,0.37,.txt
